generation,evaluated,survivors,best_fitness,mean_fitness,median_fitness,food_eaten,fish_eaten,size_mean,speed_mean,vision_mean,metabolism_mean
98,500,500,4884.9995,2127.4597,1844.9998,209746,0,29.2193,46.7146,97.8594,0.1089
99,500,500,4639.9995,2134.1897,1842.4998,210419,0,29.2485,46.7545,97.9004,0.1092
100,500,500,4919.9995,2136.7798,1864.9998,210678,0,29.2663,46.7541,97.8806,0.1093
101,500,500,4544.9995,2129.0598,1837.4998,209906,0,29.2619,47.2500,97.5839,0.1090
102,500,500,4504.9995,2119.7898,1832.4998,208979,0,29.2637,47.2693,97.2445,0.1086
103,500,500,4819.9995,2128.7498,1852.4998,209875,0,29.2222,47.3346,96.9855,0.1082
104,500,500,4749.9995,2125.8098,1844.9998,209581,0,29.2669,47.4695,96.3479,0.1079
105,500,500,4664.9995,2124.0098,1844.9998,209401,0,29.2707,47.5085,96.8147,0.1081
106,500,500,4769.9995,2125.4297,1829.9998,209543,0,29.2318,47.3029,97.2356,0.1085
107,500,500,4749.9995,2126.0298,1822.4998,209603,0,29.2335,47.4661,97.3337,0.1085
108,500,500,4569.9995,2132.9597,1859.9998,210296,0,29.2140,47.1296,97.6236,0.1085
109,500,500,4769.9995,2123.6997,1849.9998,209370,0,29.1724,47.2360,97.9068,0.1088
110,500,500,4609.9995,2130.3098,1867.4998,210031,0,29.2300,46.9856,98.0664,0.1086
111,500,500,4919.9995,2133.0698,1829.9998,210307,0,29.1830,47.0559,98.3528,0.1086
112,500,500,4769.9995,2135.4097,1859.9998,210541,0,29.2071,47.1643,97.9762,0.1087
113,500,500,4684.9995,2129.2297,1829.9998,209923,0,29.1766,47.1287,97.8001,0.1089
114,500,500,4639.9995,2131.9397,1849.9998,210194,0,29.2091,47.3609,97.9089,0.1094
115,500,500,4634.9995,2129.1396,1839.9998,209914,0,29.2292,47.3004,97.5363,0.1092
116,500,500,4749.9995,2130.8896,1854.9998,210089,0,29.2277,47.3747,97.7508,0.1087
117,500,500,4744.9995,2132.2097,1849.9998,210221,0,29.1893,47.3062,97.2597,0.1088
118,500,500,4604.9995,2131.0798,1844.9998,210108,0,29.2291,47.6294,97.1802,0.1085
119,500,500,4490.0166,2136.0044,1835.0164,210599,0,29.1987,47.6372,97.6423,0.1082
120,500,500,4809.9995,2136.3997,1842.4998,210640,0,29.2228,47.4253,98.0140,0.1082
121,500,500,4589.9995,2132.0598,1862.4998,210206,0,29.2099,47.6586,98.2864,0.1083
122,500,500,4894.9995,2132.5298,1849.9998,210253,0,29.1746,47.6061,98.1150,0.1081
123,500,500,4794.9995,2127.8696,1842.4998,209787,0,29.1910,47.5639,98.2877,0.1079
124,500,500,4984.9995,2128.5698,1854.9998,209857,0,29.1892,47.8833,98.2583,0.1080
125,500,500,4704.9995,2126.5598,1854.9998,209656,0,29.1638,47.6959,98.2866,0.1076
126,500,500,4699.9995,2130.5898,1859.9998,210059,0,29.1413,47.3558,98.1960,0.1075
127,500,500,4604.9995,2121.6497,1847.4998,209165,0,29.0603,47.2617,97.9788,0.1074
128,500,500,4769.9995,2137.4897,1844.9998,210749,0,29.1198,47.7574,97.5085,0.1074
129,500,500,4444.9995,2127.7598,1834.9998,209776,0,29.1581,47.9789,97.6096,0.1078
130,500,500,4889.9995,2128.3298,1827.4998,209833,0,29.1689,48.0099,97.3652,0.1080
131,500,500,4919.9995,2130.8298,1849.9998,210083,0,29.1819,47.5607,96.9662,0.1080
132,500,500,4969.9995,2118.0298,1837.4998,208803,0,29.2188,47.6846,97.0402,0.1080
133,500,500,4864.9995,2125.8499,1834.9998,209585,0,29.2415,47.7403,97.0833,0.1078
134,500,500,4624.9995,2137.7698,1844.9998,210777,0,29.1886,47.5013,96.8579,0.1075
135,500,500,4894.9995,2127.0798,1857.4998,209708,0,29.1927,47.3067,96.6971,0.1076
136,500,500,4644.9995,2132.1099,1864.9998,210211,0,29.1809,47.2919,96.9654,0.1075
137,500,500,4759.9995,2132.8098,1842.4998,210281,0,29.1621,47.0187,96.8390,0.1073
138,500,500,4809.9995,2129.0098,1854.9998,209901,0,29.1934,47.1672,96.5877,0.1076
